Категория ,Наименование,Количество,Ед. измерения,Стоимость/Примечание
Готовая продукция,Стяжка,3,п (поддонов),180.000 тг
Готовая продукция ,ШВС,0,п (поддонов),0 тг
Готовая продукция ,Клей,4,п (поддонов),230.400 тг
Готовая продукция ,Клей (кызыл),0,шт,0 тг
Готовая продукция ,Клей (оранжевый),6,мешков,7200 тг
Готовая продукция ,Strong,24,мешка,43.200 тг
Сырье и материалы,Песок,21,т,
Сырье и материалы,Цемент,16,п (+4 мешка),
Сырье и материалы,Atocell,336.3,кг,
Сырье и материалы,Полипласт 2032,100,кг,
Сырье и материалы,Стекловолокно,46,кг,
Сырье и материалы,Беролан,48.8,кг,
Сырье и материалы,Отработка,15,бочек,
Сырье и материалы,Стрейч-пленка,40,шт,
Сырье и материалы,Рулон,2,шт,
Пустые мешки,ШВС,3702,шт,
Пустые мешки,Клей,3610,шт,
Пустые мешки,Стяжка ,6081,шт,
Пустые мешки,Granit,5035,шт,
Пустые мешки,Strong,5044,шт,
Поддоны,Пустые поддоны,59,шт,
